*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=main_board_v0
*Date=00:25:30
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;112.224;-109.69;0;Bottom;Via44
2;1.5k;THT;43.6436;-84.29;0;Bottom;R4
3;;THT;175.724;-126.2;180;Bottom;EXTI.3
4;;;188.424;-51.27;0;Bottom;Via30
5;;;5.54363;-130.01;0;Bottom;Hole3
6;;;155.394;-119.854;0;Bottom;Via108
7;;1206 [SMD];3.99362;-107.155;0;Top;LED0
8;;;5.54362;-23.3301;0;Bottom;Via11
9;;usb-mb-h;5.25864;-60.49;0;Bottom;U3 (USART2)
10;;THT;67.7736;-36.03;90;Bottom;I2C2.1
11;;;112.205;-48.7363;0;Bottom;Via124
12;;;109.702;-99.5123;0;Bottom;Via143
13;1.5k;THT;43.6436;-58.8853;0;Bottom;R7
14;;;170.644;-61.43;0;Bottom;Via24
15;;;23.3236;-66.51;0;Bottom;Via92
16;;;183.344;-114.77;0;Bottom;Via40
17;;THT;150.324;-126.2;180;Bottom;EXTI.5
18;;;183.377;-66.5288;0;Bottom;Via32
19;;;36.6404;-124.558;0;Bottom;TXT2
20;;;168.085;-117.302;0;Bottom;Via103
21;;;75.3937;-68.7229;180;Bottom;WeMos D1 Mini1
22;;1206 [SMD];3.99363;-51.27;180;Top;LED4
23;;;10.6236;-94.45;0;Bottom;Via88
24;;;135.097;-46.1848;0;Bottom;Via19
25;;THT;180.804;-25.235;0;Bottom;PB.2
26;1.5k;THT;43.6436;-38.57;0;Bottom;R10
27;;;102.064;-84.29;0;Bottom;Via56
28;1.5k;THT;43.6436;-99.53;0;Bottom;R2
29;;;18.2436;-25.8701;0;Bottom;Via8
30;;;114.753;-15.6955;0;Bottom;Via148
31;;;99.5518;-79.21;0;Bottom;Via15
32;;;15.7036;-89.37;0;Bottom;Via90
33;;;140.164;-89.37;0;Bottom;Via111
34;22nF;100 mil [THT, multilayer];33.4836;-19.5248;90;Bottom;C8 22pF
35;;;163.02;-96.9723;0;Bottom;Via63
36;;;35.7468;-121.477;0;Bottom;TXT3
37;;THT;163.024;-126.2;180;Bottom;PWM.3
38;;;13.1636;-84.29;0;Bottom;Via96
39;;;137.639;-76.6555;0;Bottom;Via116
40;;;165.564;-99.53;0;Bottom;Via62
41;;THT;193.504;-52.54;0;Bottom;PWR3V3.3
42;;THT;117.304;-33.49;0;Bottom;WP.2
43;;DIP (Dual Inline) [THT];98.2536;-32.22;0;Bottom;24LC256.1
44;;;183.374;-107.167;0;Bottom;Via60
45;;usb-mb-h;5.25864;-30.0102;0;Bottom;U4 (UART5)
46;;;71.9167;-9.84259;-90;Bottom;TXT6
47;;;183.377;-122.395;0;Bottom;Via41
48;;;46.1707;-41.1296;0;Bottom;Via87
49;;THT;67.7736;-13.17;90;Bottom;I2C2.4
50;;;213.824;-130.01;0;Bottom;Hole1
51;;;107.144;-81.75;0;Bottom;Via55
52;;;147.784;-130.034;0;Bottom;Via106
53;;;13.1457;-23.3284;0;Bottom;Via7
54;;;165.568;-109.702;0;Bottom;Via140
55;;;173.192;-109.684;0;Bottom;Via139
56;;;10.6119;-63.9733;0;Bottom;Via81
57;;;130.018;-53.7992;0;Bottom;Via54
58;;THT;137.624;-37.3;0;Bottom;EXTI.6
59;;THT;109.684;-33.49;0;Bottom;WP.1
60;22nF;100 mil [THT, multilayer];33.4836;-80.4847;90;Bottom;C2 22pF
61;;THT;193.504;-80.48;180;Bottom;DAC1_OUT
62;;;196.044;-124.93;0;Bottom;Via38
63;;;56.3317;-76.6835;0;Bottom;Via70
64;;;114.764;-112.23;0;Bottom;Via43
65;;;15.6876;-33.5102;0;Bottom;Via4
66;;DIP (Dual Inline) [THT];159.214;-22.06;0;Bottom;MCP23017.1
67;;;84.257;-94.4458;0;Bottom;Via57
68;;;109.702;-104.598;0;Bottom;Via145
69;;;5.54363;-5.55003;0;Bottom;Hole4
70;;THT;127.464;-27.14;0;Bottom;PWR5V.2
71;;1206 [SMD];3.99362;-41.1101;0;Top;LED6
72;;;178.264;-91.91;0;Bottom;Via126
73;;;91.9013;-69.0314;0;Bottom;Via16
74;;;20.7836;-66.5297;0;Bottom;Via72
75;;THT;208.744;-95.72;0;Bottom;SPI2.2
76;;;86.7945;-51.2428;0;Bottom;Via22
77;;SO;25.3302;-91.275;90;Top;CH340G.1
78;;;183.344;-102.07;0;Bottom;Via61
79;;DIP (Dual Inline) [THT];98.2536;-16.98;0;Bottom;24LC256.2
80;;THT;53.8036;-91.91;0;Bottom;USART1_RX_TX_GND
81;1.5k;THT;43.6436;-23.33;0;Bottom;R12
82;22nF;100 mil [THT, multilayer];33.4836;-50;90;Bottom;C5 22pF
83;;;102.073;-46.2031;0;Bottom;Via121
84;;;71.6005;-91.8933;0;Bottom;Via131
85;;THT;193.504;-95.72;0;Bottom;SPI2.1
86;;;109.681;-122.371;0;Bottom;Via100
87;;;122.376;-119.855;0;Bottom;Via47
88;;;84.2892;-104.629;0;Bottom;Via137
89;1.5k;THT;43.6436;-107.15;0;Bottom;R0
90;22nF;100 mil [THT, multilayer];18.2436;-50;90;Bottom;C4 22pF
91;;THT;83.0136;-13.17;90;Bottom;I2C1.4
92;22nF;100 mil [THT, multilayer];18.2436;-80.4847;90;Bottom;C1 22pF
93;;;81.7435;-61.43;0;Bottom;Via25
94;;;10.6304;-33.4896;0;Bottom;Via10
95;;;157.936;-117.312;0;Bottom;Via104
96;;;160.484;-43.6501;0;Bottom;Via17
97;;;79.307;-9.39075;-90;Bottom;TXT6
98;;;140.143;-63.9736;0;Bottom;Via27
